name,age,birthday,league,season,position,current_club,minutes_played_overall,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Jack Stephens,27,1/27/1994,Premier League,2018/2019,Defender,Southampton,1697,England,1,0,0,4,0
Jack Wilshere,29,1/1/1992,Premier League,2018/2019,Midfielder,West Ham United,389,England,0,1,0,2,0
Jacob Murphy,26,2/24/1995,Premier League,2018/2019,Midfielder,Newcastle United,300,England,0,1,0,0,0
Jaïro Riedewald,24,9/9/1996,Premier League,2018/2019,Defender,Crystal Palace,0,Netherlands,0,0,0,0,0
Jamal Lascelles,27,11/11/1993,Premier League,2018/2019,Defender,Newcastle United,2748,England,0,1,0,4,0
James Garner,20,3/13/2001,Premier League,2018/2019,Defender,Manchester United,0,England,0,0,0,0,0
James Maddison,24,11/23/1996,Premier League,2018/2019,Midfielder,Leicester City,2850,England,7,7,1,5,1
James McArthur,33,10/7/1987,Premier League,2018/2019,Midfielder,Crystal Palace,3071,Scotland,3,6,0,7,0
James McCarthy,30,11/12/1990,Premier League,2018/2019,Midfielder,Everton,14,Republic of Ireland,0,0,0,0,0
James Milner,35,1/4/1986,Premier League,2018/2019,Midfielder,Liverpool,1785,England,5,4,3,7,1
James Tarkowski,28,11/19/1992,Premier League,2018/2019,Defender,Burnley,3087,England,3,1,0,8,0
James Tomkins,32,3/29/1989,Premier League,2018/2019,Defender,Crystal Palace,2563,England,1,1,0,6,0
James Ward-Prowse,26,11/1/1994,Premier League,2018/2019,Midfielder,Southampton,1942,England,7,0,1,4,0
Jamie Sterry,25,11/21/1995,Premier League,2018/2019,Defender,Newcastle United,0,England,0,0,0,0,0
Jamie Vardy,34,1/11/1987,Premier League,2018/2019,Forward,Leicester City,2735,England,18,4,4,4,1
Jan Bednarek,24,4/12/1996,Premier League,2018/2019,Defender,Southampton,2151,Poland,0,1,0,7,0
Jan Vertonghen,33,4/24/1987,Premier League,2018/2019,Defender,Tottenham Hotspur,1915,Belgium,1,0,0,5,1
Jannik Vestergaard,28,8/3/1992,Premier League,2018/2019,Defender,Southampton,2030,Denmark,0,0,0,2,0
Jason Puncheon,34,6/26/1986,Premier League,2018/2019,Midfielder,Huddersfield Town,391,England,0,0,0,1,0
Jason Steele,30,8/18/1990,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,0,England,0,0,0,0,0
Javier Hernandez,32,6/1/1988,Premier League,2018/2019,Forward,West Ham United,1335,Mexico,7,1,0,2,0
Javier Manquillo Gaitán,26,5/5/1994,Premier League,2018/2019,Defender,Newcastle United,1097,Spain,0,3,0,2,0
Jayson Molumby,21,8/6/1999,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,Republic of Ireland,0,0,0,0,0
Jazz Richards,29,4/12/1991,Premier League,2018/2019,Defender,Cardiff City,128,Wales,0,0,0,0,0
Jean Michaël Seri,29,7/19/1991,Premier League,2018/2019,Midfielder,Fulham,2252,Côte d'Ivoire,1,2,0,6,0
Jeff Hendrick,29,1/31/1992,Premier League,2018/2019,Midfielder,Burnley,2069,Republic of Ireland,3,0,0,4,0
Jefferson Lerma,26,10/25/1994,Premier League,2018/2019,Midfielder,AFC Bournemouth,2511,Colombia,2,0,0,12,0
Jeffrey Schlupp,28,12/23/1992,Premier League,2018/2019,Defender,Crystal Palace,1665,Ghana,4,1,0,1,0
Jermain Defoe,38,10/7/1982,Premier League,2018/2019,Forward,AFC Bournemouth,21,England,0,0,0,0,0
Jesse Lingard,28,12/15/1992,Premier League,2018/2019,Midfielder,Manchester United,1668,England,4,2,1,3,0
João Moutinho,34,9/8/1986,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3040,Portugal,1,8,0,4,0
Joe Bennett,31,3/28/1990,Premier League,2018/2019,Defender,Cardiff City,2641,England,0,1,0,5,0
Joe Bryan,27,9/17/1993,Premier League,2018/2019,Defender,Fulham,2350,England,0,1,0,5,0
Joe Daniel Tupper,23,11/15/1997,Premier League,2018/2019,Goalkeeper,Crystal Palace,0,England,0,0,0,0,0
Joe Gomez,23,5/23/1997,Premier League,2018/2019,Defender,Liverpool,1060,England,0,0,0,2,0
Joe Hart,33,4/19/1987,Premier League,2018/2019,Goalkeeper,Burnley,1710,England,0,0,0,0,0
Joe Powell,22,10/30/1998,Premier League,2018/2019,Forward,West Ham United,0,England,0,0,0,0,0
Joe Ralls,27,10/13/1993,Premier League,2018/2019,Midfielder,Cardiff City,1959,England,0,0,0,5,1
Joel Coleman,25,9/26/1995,Premier League,2018/2019,Goalkeeper,Huddersfield Town,90,England,0,0,0,0,0
Joel Matip,29,8/8/1991,Premier League,2018/2019,Defender,Liverpool,1532,Cameroon,1,0,0,3,0
Joel Ward,31,10/29/1989,Premier League,2018/2019,Defender,Crystal Palace,551,England,1,0,0,1,0
Johann Berg Guðmunds­son,30,10/27/1990,Premier League,2018/2019,Midfielder,Burnley,1748,Iceland,3,6,0,2,0
John Ruddy,34,10/24/1986,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,90,England,0,0,0,0,0
John Stones,26,5/28/1994,Premier League,2018/2019,Defender,Manchester City,1762,England,0,0,0,1,0
Jon Gorenc Stankovič,25,1/14/1996,Premier League,2018/2019,Defender,Huddersfield Town,718,Slovenia,1,0,0,2,0
Jonas Lössl,32,2/1/1989,Premier League,2018/2019,Goalkeeper,Huddersfield Town,2777,Denmark,0,1,0,1,0
Jonathan Hogg,32,12/6/1988,Premier League,2018/2019,Midfielder,Huddersfield Town,2377,England,0,1,0,9,1
Jonathan Walters,37,9/20/1983,Premier League,2018/2019,Forward,Burnley,0,Republic of Ireland,0,0,0,0,0
Jonjo Shelvey,29,2/27/1992,Premier League,2018/2019,Midfielder,Newcastle United,944,England,1,1,0,1,0
Jonjoe Kenny,24,3/15/1997,Premier League,2018/2019,Defender,Everton,790,England,0,1,0,1,0
Jonny,27,3/3/1994,Premier League,2018/2019,Defender,Wolverhampton Wanderers,2780,Spain,1,1,0,6,0
Jonny Evans,33,1/3/1988,Premier League,2018/2019,Defender,Leicester City,1995,Northern Ireland,1,0,0,2,0
Jordan Ayew,29,9/11/1991,Premier League,2018/2019,Forward,Crystal Palace,1186,Ghana,1,2,0,3,0
Jordan Henderson,30,6/17/1990,Premier League,2018/2019,Midfielder,Liverpool,1983,England,1,3,0,3,1
Jordan Pickford,27,3/7/1994,Premier League,2018/2019,Goalkeeper,Everton,3420,England,0,0,0,1,0
Jordon Ibe,25,12/8/1995,Premier League,2018/2019,Midfielder,AFC Bournemouth,795,England,1,1,0,1,0
Jorginho,29,12/20/1991,Premier League,2018/2019,Midfielder,Chelsea,3165,Italy,2,0,1,8,0
José Diogo Dalot Teixeira,22,3/18/1999,Premier League,2018/2019,Defender,Manchester United,1015,Portugal,0,2,0,3,0
José Holebas,36,6/27/1984,Premier League,2018/2019,Defender,Watford,2394,Greece,3,6,0,13,1
Jose Izquierdo,28,7/7/1992,Premier League,2018/2019,Forward,Brighton & Hove Albion,794,Colombia,0,1,0,1,0
José Luis Sanmartín Mato,31,3/27/1990,Premier League,2018/2019,Forward,Newcastle United,586,Spain,2,0,0,1,0
Joseph Willock,21,8/20/1999,Premier League,2018/2019,Midfielder,Arsenal,64,England,0,0,0,0,0
Josh Benson,21,12/5/1999,Premier League,2018/2019,Midfielder,Burnley,0,England,0,0,0,0,0
Josh Knight,23,9/7/1997,Premier League,2018/2019,Defender,Leicester City,0,England,0,0,0,0,0
Josh Murphy,26,2/24/1995,Premier League,2018/2019,Forward,Cardiff City,1825,England,3,2,0,2,0
Joshua King,29,1/15/1992,Premier League,2018/2019,Forward,AFC Bournemouth,2974,Norway,12,3,5,3,0
Joshua Sims,24,3/28/1997,Premier League,2018/2019,Midfielder,Southampton,209,England,0,1,0,0,0
Juan Marcos Foyth,23,1/12/1998,Premier League,2018/2019,Defender,Tottenham Hotspur,930,Argentina,1,0,0,4,1
Juan Mata,32,4/28/1988,Premier League,2018/2019,Midfielder,Manchester United,1294,Spain,3,2,0,3,0
Julián Speroni,41,5/18/1979,Premier League,2018/2019,Goalkeeper,Crystal Palace,90,Argentina,0,0,0,0,0
Juninho Bacuna,23,8/7/1997,Premier League,2018/2019,Midfielder,Huddersfield Town,1414,Netherlands,1,0,0,4,0
Junior Stanislas,31,11/26/1989,Premier League,2018/2019,Midfielder,AFC Bournemouth,1027,England,2,3,1,1,0
Jürgen Locadia,27,11/7/1993,Premier League,2018/2019,Forward,Brighton & Hove Albion,1227,Netherlands,2,0,0,1,0
Kadeem Harris,27,6/8/1993,Premier League,2018/2019,Midfielder,Cardiff City,366,England,1,0,0,1,0
Karl Darlow,30,10/8/1990,Premier League,2018/2019,Goalkeeper,Newcastle United,0,England,0,0,0,0,0
Karlan Ahearne-Grant,23,12/19/1997,Premier League,2018/2019,Forward,Huddersfield Town,874,England,4,0,0,0,0
Kasper Schmeichel,34,11/5/1986,Premier League,2018/2019,Goalkeeper,Leicester City,3420,Denmark,0,0,0,3,0
Kayne Ramsey,20,10/10/2000,Premier League,2018/2019,Midfielder,Southampton,90,England,0,0,0,0,0
Kazaiah Sterling,22,11/9/1998,Premier League,2018/2019,Forward,Tottenham Hotspur,0,England,0,0,0,0,0
Kelechi Iheanacho,24,10/3/1996,Premier League,2018/2019,Forward,Leicester City,926,Nigeria,1,3,0,2,0
Kelland Watts,21,11/3/1999,Premier League,2018/2019,Midfielder,Newcastle United,0,England,0,0,0,0,0
Ken Sema,27,9/30/1993,Premier League,2018/2019,Midfielder,Watford,755,Sweden,1,2,0,1,0
Kenneth Dahrup Zohorè,27,1/31/1994,Premier League,2018/2019,Forward,Cardiff City,746,Denmark,1,1,0,1,0
Kepa Arrizabalaga,26,10/3/1994,Premier League,2018/2019,Goalkeeper,Chelsea,3240,Spain,0,0,0,2,0
Kevin De Bruyne,29,6/28/1991,Premier League,2018/2019,Midfielder,Manchester City,974,Belgium,2,2,0,2,0
Kevin Long,30,8/18/1990,Premier League,2018/2019,Defender,Burnley,513,Republic of Ireland,0,1,0,0,0
Kevin McDonald,32,11/4/1988,Premier League,2018/2019,Midfielder,Fulham,842,Scotland,0,0,0,6,1
Kieran Dowell,23,10/10/1997,Premier League,2018/2019,Midfielder,Everton,0,England,0,0,0,0,0
Kieran Trippier,30,9/19/1990,Premier League,2018/2019,Defender,Tottenham Hotspur,2278,England,1,3,0,2,0
Konstantinos Mavropanos,23,12/11/1997,Premier League,2018/2019,Defender,Arsenal,150,Greece,0,0,0,1,0
Kortney Hause,25,7/16/1995,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,England,0,0,0,0,0
Kurt Zouma,26,10/27/1994,Premier League,2018/2019,Defender,Everton,2610,France,2,2,0,5,1
Kyle Taylor,21,8/28/1999,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0
Kyle Walker,30,5/28/1990,Premier League,2018/2019,Defender,Manchester City,2777,England,1,1,0,3,0
Kyle Walker-Peters,23,4/13/1997,Premier League,2018/2019,Defender,Tottenham Hotspur,374,England,0,3,0,1,0
Laurent Depoitre,32,12/7/1988,Premier League,2018/2019,Forward,Huddersfield Town,1059,Belgium,0,1,0,1,0
Laurent Koscielny,35,9/10/1985,Premier League,2018/2019,Defender,Arsenal,1328,France,3,0,0,1,0
Lazar Marković,27,3/2/1994,Premier League,2018/2019,Midfielder,Fulham,44,Serbia,0,0,0,0,0
Leander Dendoncker,25,4/15/1995,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1469,Belgium,2,0,0,1,0
Leandro Bacuna,29,8/21/1991,Premier League,2018/2019,Midfielder,Cardiff City,554,Curaçao,0,0,0,2,0
Lee Grant,38,1/27/1983,Premier League,2018/2019,Goalkeeper,Manchester United,0,England,0,0,0,0,0
Lee Peltier,34,12/11/1986,Premier League,2018/2019,Defender,Cardiff City,1542,England,0,0,0,4,0
Leighton Baines,36,12/11/1984,Premier League,2018/2019,Defender,Everton,376,England,0,0,0,0,0
Leon Balogun,32,6/28/1988,Premier League,2018/2019,Defender,Brighton & Hove Albion,591,Nigeria,1,0,0,2,0
Leonardo Bonatini Lohner Maia,27,3/28/1994,Premier League,2018/2019,Forward,Wolverhampton Wanderers,128,Brazil,0,1,0,0,0
Leroy Sané,25,1/11/1996,Premier League,2018/2019,Midfielder,Manchester City,1867,Germany,10,10,0,1,0
Lewis Cass,21,2/27/2000,Premier League,2018/2019,Defender,Newcastle United,0,England,0,0,0,0,0
Lewis Cook,24,2/3/1997,Premier League,2018/2019,Midfielder,AFC Bournemouth,721,England,0,0,0,2,0
Lewis Dunk,29,11/21/1991,Premier League,2018/2019,Defender,Brighton & Hove Albion,3153,England,2,1,0,7,1
Loïc Damour,30,1/8/1991,Premier League,2018/2019,Midfielder,Cardiff City,21,France,0,0,0,0,0
Loris Karius,27,6/22/1993,Premier League,2018/2019,Goalkeeper,Liverpool,0,Germany,0,0,0,0,0
Luca de la Torre,22,5/23/1998,Premier League,2018/2019,Midfielder,Fulham,0,USA,0,0,0,0,0
Lucas Digne,27,7/20/1993,Premier League,2018/2019,Defender,Everton,2990,France,4,4,0,6,1
Lucas Perez,32,9/10/1988,Premier League,2018/2019,Forward,West Ham United,468,Spain,3,0,0,0,0
Lucas Rodrigues Moura da Silva,28,8/13/1992,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2127,Brazil,10,0,0,3,0
Lucas Torreira,25,2/11/1996,Premier League,2018/2019,Midfielder,Arsenal,2377,Uruguay,2,2,0,8,1
Luciano Vietto,27,12/5/1993,Premier League,2018/2019,Forward,Fulham,983,Argentina,1,4,0,1,0
Luka Milivojević,29,4/7/1991,Premier League,2018/2019,Midfielder,Crystal Palace,3420,Serbia,12,2,10,10,0
Luke Amos,24,2/23/1997,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2,England,0,0,0,0,0
Luke Dreher,22,11/27/1998,Premier League,2018/2019,Midfielder,Crystal Palace,0,England,0,0,0,0,0
Luke Shaw,25,7/12/1995,Premier League,2018/2019,Defender,Manchester United,2592,England,1,4,0,11,0
Lys Mousset,25,2/8/1996,Premier League,2018/2019,Forward,AFC Bournemouth,345,France,1,0,0,1,0
Maarten Stekelenburg,38,9/22/1982,Premier League,2018/2019,Goalkeeper,Everton,0,Netherlands,0,0,0,0,0
Mamadou Sakho,31,2/13/1990,Premier League,2018/2019,Defender,Crystal Palace,2417,France,0,0,0,2,0
Manolo Gabbiadini,29,11/26/1991,Premier League,2018/2019,Forward,Southampton,470,Italy,1,0,0,0,0
Manuel Lanzini,28,2/15/1993,Premier League,2018/2019,Midfielder,West Ham United,688,Argentina,1,1,0,2,0
Marc Albrighton,31,11/18/1989,Premier League,2018/2019,Midfielder,Leicester City,1626,England,2,2,0,3,0
Marc Guehi,20,7/13/2000,Premier League,2018/2019,Defender,Chelsea,0,England,0,0,0,0,0
Marc Navarro Ceciliano,25,7/2/1995,Premier League,2018/2019,Defender,Watford,84,Spain,0,0,0,0,0
Marc Pugh,34,4/2/1987,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0
Marcos Alonso,30,12/28/1990,Premier League,2018/2019,Defender,Chelsea,2761,Spain,2,4,0,6,0
Marcus Bettinelli,28,5/24/1992,Premier League,2018/2019,Goalkeeper,Fulham,630,England,0,0,0,1,0
Marcus Rashford,23,10/31/1997,Premier League,2018/2019,Forward,Manchester United,2362,England,10,6,0,4,1
Mario Lemina,27,9/1/1993,Premier League,2018/2019,Midfielder,Southampton,1615,Gabon,1,1,0,5,0
Mark Noble,33,5/8/1987,Premier League,2018/2019,Midfielder,West Ham United,2308,England,5,5,4,7,1
Mark Travers,21,5/18/1999,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,180,Republic of Ireland,0,0,0,0,0
Marko Arnautović,31,4/19/1989,Premier League,2018/2019,Forward,West Ham United,2000,Austria,10,4,1,3,0
Markus Suttner,33,4/16/1987,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,Austria,0,0,0,0,0
Marouane Fellaini,33,11/22/1987,Premier League,2018/2019,Midfielder,Manchester United,744,Belgium,0,1,0,1,0
Martin Dúbravka,32,1/15/1989,Premier League,2018/2019,Goalkeeper,Newcastle United,3420,Slovakia,0,0,0,1,0
Martin Kelly,30,4/27/1990,Premier League,2018/2019,Defender,Crystal Palace,1110,England,0,0,0,2,0
Martín Montoya,29,4/14/1991,Premier League,2018/2019,Defender,Brighton & Hove Albion,2166,Spain,0,1,0,4,0
Mason Greenwood,19,10/1/2001,Premier League,2018/2019,Midfielder,Manchester United,115,England,0,0,0,0,0
Mason Holgate,24,10/22/1996,Premier League,2018/2019,Defender,Everton,407,England,0,0,0,1,0
Matěj Vydra,28,5/1/1992,Premier League,2018/2019,Forward,Burnley,311,Czech Republic,1,1,0,1,0
Mateo Kovačić,26,5/6/1994,Premier League,2018/2019,Midfielder,Chelsea,1743,Croatia,0,2,0,3,0
Mathew Ryan,28,4/8/1992,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,Australia,0,0,0,2,0
Mathias Jattah-Njie Jørgensen,30,4/23/1990,Premier League,2018/2019,Defender,Huddersfield Town,2148,Denmark,3,1,0,6,0
Matt Butcher,23,5/14/1997,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0
Matt Doherty,29,1/16/1992,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3147,Republic of Ireland,4,5,0,5,0
Matt Ritchie,31,9/10/1989,Premier League,2018/2019,Midfielder,Newcastle United,2940,Scotland,2,8,1,9,0
Matt Targett,25,9/18/1995,Premier League,2018/2019,Defender,Southampton,1185,England,1,3,0,2,0
Matteo Darmian,31,12/2/1989,Premier League,2018/2019,Defender,Manchester United,443,Italy,0,0,0,0,0
Mattéo Guendouzi Olié,21,4/14/1999,Premier League,2018/2019,Midfielder,Arsenal,2143,France,0,0,0,9,0
Matthew Connolly,33,9/24/1987,Premier League,2018/2019,Defender,Cardiff City,0,England,0,0,0,0,0
Matthew Lowton,31,6/9/1989,Premier League,2018/2019,Defender,Burnley,1748,England,0,0,0,7,0
Matty Daly,20,3/10/2001,Premier League,2018/2019,Midfielder,Huddersfield Town,73,England,0,0,0,0,0
Max Harrison Sanders,22,1/4/1999,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,England,0,0,0,0,0
Max Kilman,23,5/23/1997,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,England,0,0,0,0,0
Max Meyer,25,9/18/1995,Premier League,2018/2019,Midfielder,Crystal Palace,1414,Germany,1,2,0,3,0
Maxime Le Marchand,31,10/11/1989,Premier League,2018/2019,Defender,Fulham,2251,France,0,1,0,5,0
Maya Yoshida,32,8/24/1988,Premier League,2018/2019,Defender,Southampton,1520,Japan,0,1,0,0,0
Mesut Özil,32,10/15/1988,Premier League,2018/2019,Midfielder,Arsenal,1741,Germany,5,2,0,2,0
Michael Keane,28,1/11/1993,Premier League,2018/2019,Defender,Everton,2970,England,1,2,0,2,0
Michael Obafemi,20,7/6/2000,Premier League,2018/2019,Forward,Southampton,134,Republic of Ireland,1,1,0,1,0
Michail Antonio,31,3/28/1990,Premier League,2018/2019,Midfielder,West Ham United,2099,England,6,4,0,3,0
Michel Vorm,37,10/20/1983,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,180,Netherlands,0,0,0,0,0
Michy Batshuayi,27,10/2/1993,Premier League,2018/2019,Forward,Crystal Palace,756,Belgium,5,0,0,0,0
Miguel Ángel Almirón Rejala,27,2/10/1994,Premier League,2018/2019,Midfielder,Newcastle United,763,Paraguay,0,0,0,0,0
Miguel Ángel Britos Cabrera,35,7/17/1985,Premier League,2018/2019,Defender,Watford,185,Uruguay,0,0,0,0,0
Mohamed Diamé,33,6/14/1987,Premier League,2018/2019,Midfielder,Newcastle United,2165,Senegal,0,0,0,3,0
Mohamed Elneny,28,7/11/1992,Premier League,2018/2019,Midfielder,Arsenal,381,Egypt,0,0,0,0,0
Mohamed Elyounoussi,26,8/4/1994,Premier League,2018/2019,Midfielder,Southampton,790,Norway,0,0,0,0,0
Mohamed Salah,28,6/15/1992,Premier League,2018/2019,Forward,Liverpool,3262,Egypt,22,8,3,1,0
Morgan Gibbs-White,21,1/27/2000,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,647,England,0,1,0,1,0
Morgan Schneiderlin,31,11/8/1989,Premier League,2018/2019,Midfielder,Everton,833,France,0,1,0,2,0
Moussa Dembele,33,7/16/1987,Premier League,2018/2019,Midfielder,Tottenham Hotspur,516,Belgium,0,0,0,1,0
Moussa Sissoko,31,8/16/1989,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2336,France,0,3,0,2,0
N'Golo Kanté,30,3/29/1991,Premier League,2018/2019,Midfielder,Chelsea,3096,France,4,4,0,3,0
Naby Deco Keïta,26,2/10/1995,Premier League,2018/2019,Midfielder,Liverpool,1392,Guinea,2,1,0,0,0
Nacho Monreal,35,2/26/1986,Premier League,2018/2019,Defender,Arsenal,1861,Spain,1,3,0,5,0
Nampalys Mendy,28,6/23/1992,Premier League,2018/2019,Midfielder,Leicester City,2088,France,0,0,0,5,0
Nathan Aké,26,2/18/1995,Premier League,2018/2019,Defender,AFC Bournemouth,3412,Netherlands,4,0,0,3,0
Nathan Holland,22,6/19/1998,Premier League,2018/2019,Midfielder,West Ham United,0,England,0,0,0,0,0
Nathan Redmond,27,3/6/1994,Premier League,2018/2019,Midfielder,Southampton,3276,England,6,4,0,3,0
Nathaniel Chalobah,26,12/12/1994,Premier League,2018/2019,Midfielder,Watford,266,England,0,0,0,2,0
Nathaniel Clyne,30,4/5/1991,Premier League,2018/2019,Defender,AFC Bournemouth,1254,England,0,1,0,2,0
Nathaniel Mendez-Laing,28,4/15/1992,Premier League,2018/2019,Midfielder,Cardiff City,984,England,4,1,1,0,0
Neeskens Kebano,29,3/10/1992,Premier League,2018/2019,Midfielder,Fulham,103,Congo DR,0,0,0,0,0
Neil Leonard Dula Etheridge,31,2/7/1990,Premier League,2018/2019,Goalkeeper,Cardiff City,3420,Philippines,0,0,0,2,0
Nemanja Matić,32,8/1/1988,Premier League,2018/2019,Midfielder,Manchester United,2441,Serbia,1,0,0,8,1
Nicolas Otamendi,33,2/12/1988,Premier League,2018/2019,Defender,Manchester City,1233,Argentina,0,0,0,1,0
Nikola Tavares,22,1/17/1999,Premier League,2018/2019,Defender,Crystal Palace,0,England,0,0,0,0,0
Nnamdi Ofoborh,21,11/7/1999,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0
Oleksandr Zinchenko,24,12/15/1996,Premier League,2018/2019,Midfielder,Manchester City,1153,Ukraine,0,3,0,1,0
Oliver Skipp,20,9/16/2000,Premier League,2018/2019,Midfielder,Tottenham Hotspur,216,England,0,0,0,0,0
Olivier Giroud,34,9/30/1986,Premier League,2018/2019,Forward,Chelsea,832,France,2,4,0,1,0
Onyinye Wilfred Ndidi,24,12/16/1996,Premier League,2018/2019,Midfielder,Leicester City,3299,Nigeria,2,0,0,8,0
Oriol Romeu,29,9/24/1991,Premier League,2018/2019,Midfielder,Southampton,2140,Spain,1,0,0,11,0
Oumar Niasse,30,4/18/1990,Premier League,2018/2019,Forward,Cardiff City,998,Senegal,0,0,0,0,0
Pablo Zabaleta,36,1/16/1985,Premier League,2018/2019,Defender,West Ham United,2092,Argentina,0,1,0,4,0
Pape N'Diaye Souaré,30,6/6/1990,Premier League,2018/2019,Defender,Crystal Palace,0,Senegal,0,0,0,0,0
Pascal Groß,29,6/15/1991,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1878,Germany,3,3,1,1,0
Patrick van Aanholt,30,8/29/1990,Premier League,2018/2019,Defender,Crystal Palace,3198,Netherlands,3,2,0,3,0
Paul Dummett,29,9/26/1991,Premier League,2018/2019,Defender,Newcastle United,1986,Wales,0,0,0,1,0
Paul Pogba,28,3/15/1993,Premier League,2018/2019,Midfielder,Manchester United,3011,France,13,9,7,6,0
Paulo Dino Gazzaniga,29,1/2/1992,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,270,Argentina,0,0,0,0,0
Pedro Obiang,29,3/27/1992,Premier League,2018/2019,Midfielder,West Ham United,1121,Equatorial Guinea,0,1,0,0,0
Pedro Rodriguez,33,7/28/1987,Premier League,2018/2019,Midfielder,Chelsea,1780,Spain,8,2,0,2,0
Peter Crouch,40,1/30/1981,Premier League,2018/2019,Forward,Burnley,86,England,0,0,0,1,0
Petr Čech,38,5/20/1982,Premier League,2018/2019,Goalkeeper,Arsenal,585,Czech Republic,0,0,0,0,0
Phil Bardsley,35,6/28/1985,Premier League,2018/2019,Defender,Burnley,1672,Scotland,0,0,0,9,0
Phil Jagielka,38,8/17/1982,Premier League,2018/2019,Defender,Everton,329,England,1,0,0,1,1
Phil Jones,29,2/21/1992,Premier League,2018/2019,Defender,Manchester United,1263,England,0,1,0,1,0
Philip Billing,24,6/11/1996,Premier League,2018/2019,Midfielder,Huddersfield Town,2192,Denmark,2,0,0,7,0
Philip Foden,20,5/28/2000,Premier League,2018/2019,Midfielder,Manchester City,327,England,1,0,0,0,0
Philippe Sandler,24,2/10/1997,Premier League,2018/2019,Defender,Manchester City,0,Netherlands,0,0,0,0,0
Pierre-Emerick Aubameyang,31,6/18/1989,Premier League,2018/2019,Forward,Arsenal,2731,Gabon,22,5,4,0,0
Pierre-Emile Højbjerg,25,8/5/1995,Premier League,2018/2019,Midfielder,Southampton,2764,Denmark,4,3,0,10,2
Rachid Ghezzal,28,5/9/1992,Premier League,2018/2019,Forward,Leicester City,738,Algeria,1,0,0,3,0
Rafael Euclides Soares Camacho,20,5/22/2000,Premier League,2018/2019,Midfielder,Liverpool,0,Portugal,0,0,0,0,0
Raheem Sterling,26,12/8/1994,Premier League,2018/2019,Forward,Manchester City,2777,England,17,10,0,3,0
Rajiv van La Parra,29,6/4/1991,Premier League,2018/2019,Midfielder,Huddersfield Town,407,Netherlands,0,0,0,0,0
Ramadan Sobhi,24,1/23/1997,Premier League,2018/2019,Forward,Huddersfield Town,75,Egypt,0,0,0,0,0
Raúl Alonso Jiménez Rodríguez,29,5/5/1991,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3124,Mexico,13,7,2,4,0
Rhys Healey,26,12/6/1994,Premier League,2018/2019,Forward,Cardiff City,49,England,0,0,0,0,0
Ricardo Domingos Barbosa Pereira,27,10/6/1993,Premier League,2018/2019,Defender,Leicester City,3125,Portugal,2,6,0,7,0
Richarlison de Andrade,23,5/10/1997,Premier League,2018/2019,Forward,Everton,2679,Brazil,13,1,0,6,1
Riyad Mahrez,30,2/21/1991,Premier League,2018/2019,Midfielder,Manchester City,1339,Algeria,7,4,0,0,0
Rob Holding,25,9/20/1995,Premier League,2018/2019,Defender,Arsenal,807,England,0,0,0,1,0
Robbie Brady,29,1/14/1992,Premier League,2018/2019,Midfielder,Burnley,715,Republic of Ireland,0,1,0,4,1
Robert Kenedy Nunes do Nascimento,25,2/8/1996,Premier League,2018/2019,Midfielder,Newcastle United,1344,Brazil,1,1,0,1,0
Robert Snodgrass,33,9/7/1987,Premier League,2018/2019,Midfielder,West Ham United,2222,Scotland,2,5,0,10,0
Roberto Firmino,29,10/2/1991,Premier League,2018/2019,Forward,Liverpool,2620,Brazil,12,6,1,0,0
Roberto Maximiliano Pereyra,30,1/7/1991,Premier League,2018/2019,Forward,Watford,2825,Argentina,6,1,0,3,0
Romain Saïss,31,3/26/1990,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1144,Morocco,2,0,0,7,0
Romelu Lukaku,27,5/13/1993,Premier League,2018/2019,Forward,Manchester United,2130,Belgium,12,0,0,4,0
Rondon,31,9/16/1989,Premier League,2018/2019,Forward,Newcastle United,2609,Venezuela,11,7,0,1,0
